scenario,year,bess_cost_kwh,electrification,vres_target,demand_twh,vres_capacity_gw,bess_gw,bess_duration_h,bess_gwh,dsm_ind_gw,dsm_pros_gw,curtailment_no_flex_twh,curtailment_flex_twh,curtailment_reduction_twh,vres_util_no_flex,vres_util_flex,bess_cap_cost_busd,bess_annual_cost_busd,dsm_annual_cost_busd,curtailment_savings_busd,total_cost_busd,net_benefit_busd,bess_effectiveness_pct
2024_Baseline,2024,192.0,100%,42%,510.0,1333.0,0,4,0,0,0,2334.4,2334.4,0.0,100%,100%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030_Conservative,2030,84.0,110%,65%,632.0,1069.0,0,4,0,0,0,1650.4,1650.4,0.0,100%,100%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030_80VRES,2030,84.0,115%,80%,661.0,908.0,0,4,0,0,0,1278.1,1278.1,0.0,100%,100%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2035_Hybrid_4h,2035,64.0,120%,85%,761.0,985.0,10,4,40,8,2,1341.1,917.5,423.5,100%,100%,2.58,0.26,5.26,12.71,5.51,7.19,33.3
2035_Hybrid_8h,2035,64.0,120%,85%,761.0,985.0,10,8,80,8,2,1341.1,458.8,882.3,100%,100%,5.16,0.52,5.26,26.47,5.77,20.7,66.7
2035_Hybrid_12h,2035,64.0,120%,85%,761.0,985.0,10,12,120,8,2,1341.1,458.8,882.3,100%,100%,7.73,0.77,5.26,26.47,6.03,20.44,66.7
2035_Aggressive_4h,2035,64.0,125%,90%,793.0,969.0,15,4,60,12,4,1275.3,864.7,410.6,100%,100%,3.87,0.39,8.76,12.32,9.15,3.17,35.0
2035_Aggressive_8h,2035,64.0,125%,90%,793.0,969.0,15,8,120,12,4,1275.3,399.1,876.2,100%,100%,7.73,0.77,8.76,26.29,9.53,16.75,70.0
2035_Aggressive_12h,2035,64.0,125%,90%,793.0,969.0,15,12,180,12,4,1275.3,399.1,876.2,100%,100%,11.6,1.16,8.76,26.29,9.92,16.37,70.0
2028_Early_Deploy,2028,100.0,110%,70%,607.0,954.0,8,6,48,6,2,1429.7,874.9,554.8,100%,100%,4.79,0.48,4.38,16.64,4.86,11.78,40.0
2032_Mid_Deploy,2032,74.0,115%,80%,687.0,945.0,12,8,96,10,3,1329.7,412.4,917.3,100%,100%,7.06,0.71,7.01,27.52,7.71,19.8,70.0
